dataset,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_impurity_decrease,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.04496808052062988,0.006667509232635121,0.015294408798217774,0.001899188542781599,25,0.20907162073771368,31,31,"{'model__max_depth': 25, 'model__min_impurity_decrease': 0.20907162073771368, 'model__min_samples_leaf': 31, 'model__min_samples_split': 31}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.04552960395812988,0.0064061155865524815,0.014039421081542968,0.0032909030305410883,10,0.2579416277151556,60,17,"{'model__max_depth': 10, 'model__min_impurity_decrease': 0.2579416277151556, 'model__min_samples_leaf': 60, 'model__min_samples_split': 17}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.04339089393615723,0.005758100167788492,0.014985895156860352,0.004029658650766098,26,0.9821683433294356,52,50,"{'model__max_depth': 26, 'model__min_impurity_decrease': 0.9821683433294356, 'model__min_samples_leaf': 52, 'model__min_samples_split': 50}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.04554567337036133,0.004281550159411336,0.014150428771972656,0.0042848219733040436,2,0.9962536997579243,12,6,"{'model__max_depth': 2, 'model__min_impurity_decrease': 0.9962536997579243, 'model__min_samples_leaf': 12, 'model__min_samples_split': 6}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.046757745742797854,0.0054145909823696175,0.012780857086181641,0.002513363425633532,5,0.8826363431893397,55,10,"{'model__max_depth': 5, 'model__min_impurity_decrease': 0.8826363431893397, 'model__min_samples_leaf': 55, 'model__min_samples_split': 10}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.046799755096435545,0.005095459140860394,0.012725353240966797,0.0030312852586330797,9,0.3492095746126609,48,17,"{'model__max_depth': 9, 'model__min_impurity_decrease': 0.3492095746126609, 'model__min_samples_leaf': 48, 'model__min_samples_split': 17}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.04801492691040039,0.0066200479856110255,0.015927553176879883,0.004371311379460543,3,0.8563242918780924,54,57,"{'model__max_depth': 3, 'model__min_impurity_decrease': 0.8563242918780924, 'model__min_samples_leaf': 54, 'model__min_samples_split': 57}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.050717830657958984,0.01076520783950203,0.015003013610839843,0.0033948296564053062,1,0.6420316461542878,11,50,"{'model__max_depth': 1, 'model__min_impurity_decrease': 0.6420316461542878, 'model__min_samples_leaf': 11, 'model__min_samples_split': 50}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.04174485206604004,0.004333826046415778,0.01541142463684082,0.00518011382463301,8,0.7853406511139436,40,21,"{'model__max_depth': 8, 'model__min_impurity_decrease': 0.7853406511139436, 'model__min_samples_leaf': 40, 'model__min_samples_split': 21}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.05223612785339356,0.0025005223021532827,0.013054370880126953,0.004744472869934958,30,0.009197051616629648,25,36,"{'model__max_depth': 30, 'model__min_impurity_decrease': 0.009197051616629648, 'model__min_samples_leaf': 25, 'model__min_samples_split': 36}",0.7647733542410778,0.7703729515734047,0.6985364578796062,0.7308563463716351,0.6788483317362138,0.7286774883603876,0.03588202106007367,2
0,0.05414743423461914,0.008773101795926688,0.01443943977355957,0.004476113486821745,25,0.005061583846218687,46,19,"{'model__max_depth': 25, 'model__min_impurity_decrease': 0.005061583846218687, 'model__min_samples_leaf': 46, 'model__min_samples_split': 19}",0.7647733542410778,0.7807590672822837,0.7993776074183776,0.7308563463716351,0.8001519683286388,0.7751836687284026,0.025741537942950598,1
0,0.04307742118835449,0.005641460403385635,0.013575410842895508,0.004281239518396009,2,0.6918951976926933,16,42,"{'model__max_depth': 2, 'model__min_impurity_decrease': 0.6918951976926933, 'model__min_samples_leaf': 16, 'model__min_samples_split': 42}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.040087223052978516,0.007622612858251527,0.016069555282592775,0.0023383640664899497,4,0.7121792213475359,33,15,"{'model__max_depth': 4, 'model__min_impurity_decrease': 0.7121792213475359, 'model__min_samples_leaf': 33, 'model__min_samples_split': 15}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.047500228881835936,0.008127112718684187,0.01333918571472168,0.001794104922087721,21,0.1788227092213288,56,9,"{'model__max_depth': 21, 'model__min_impurity_decrease': 0.1788227092213288, 'model__min_samples_leaf': 56, 'model__min_samples_split': 9}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.048058509826660156,0.0057678075122739175,0.016433572769165038,0.0027202883794743248,7,0.7209399242521293,33,49,"{'model__max_depth': 7, 'model__min_impurity_decrease': 0.7209399242521293, 'model__min_samples_leaf': 33, 'model__min_samples_split': 49}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.04644069671630859,0.005008022700688751,0.01773557662963867,0.005460887088996441,12,0.50881407683876,22,56,"{'model__max_depth': 12, 'model__min_impurity_decrease': 0.50881407683876, 'model__min_samples_leaf': 22, 'model__min_samples_split': 56}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.04236049652099609,0.005391888619057504,0.02187976837158203,0.005564985591418893,22,0.24398964337908358,38,39,"{'model__max_depth': 22, 'model__min_impurity_decrease': 0.24398964337908358, 'model__min_samples_leaf': 38, 'model__min_samples_split': 39}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.06192688941955567,0.017637504332267975,0.018671274185180664,0.006160013875098456,13,0.4867421529594551,8,28,"{'model__max_depth': 13, 'model__min_impurity_decrease': 0.4867421529594551, 'model__min_samples_leaf': 8, 'model__min_samples_split': 28}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
